featureId,title,acceptanceIds,businessValueIds,status
F01,Общие значения и происхождение данных,AT001;AT002;AT003;AT004;AT129;AT135;AT149;AT150;AT151;AT161;AT162;AT165;AT166,BV01,NOT_RUN
F02,Наборы документов и массовое назначение,AT005;AT006;AT007;AT008;AT129;AT130;AT150;AT151;AT161;AT162;AT165;AT166,BV01,NOT_RUN
F03,"Табличный ввод, клавиатура, массовая отмена",AT009;AT010;AT011;AT012;AT135;AT158;AT159;AT161;AT162;AT165;AT166;AT179;AT180,BV01;BV08,NOT_RUN
F04,Комиссии и реквизиты события,AT013;AT014;AT015;AT016;AT129;AT136;AT165;AT166,BV01,NOT_RUN
F05,Настоящие групповые протоколы,AT017;AT018;AT019;AT020;AT129;AT130;AT131;AT132;AT133;AT137;AT141;AT144;AT156,BV02;BV07,NOT_RUN
F06,Индивидуальные результаты и пересдачи,AT021;AT022;AT023;AT024;AT130;AT152;AT165;AT166,BV02,NOT_RUN
F07,"Заказ, группы и назначения",AT025;AT026;AT027;AT028;AT130;AT133;AT154;AT169;AT170;AT181;AT182,BV03;BV06,NOT_RUN
F08,База людей и история работодателей,AT029;AT030;AT031;AT032;AT141;AT143;AT157;AT161;AT162;AT163;AT164;AT171;AT172,BV01;BV05,NOT_RUN
F09,Импорт и массовое сопоставление,AT033;AT034;AT035;AT036;AT129;AT147;AT151;AT167;AT168,BV01,NOT_RUN
F10,Сравнение обновлённых списков,AT037;AT038;AT039;AT040;AT134;AT150;AT167;AT168,BV02,NOT_RUN
F11,Контрольный лист и согласование,AT041;AT042;AT043;AT044;AT158;AT167;AT168;AT173;AT174,BV02;BV04,NOT_RUN
F12,Готовые запросы недостающих данных,AT045;AT046;AT047;AT048;AT167;AT168;AT173;AT174;AT179;AT180,BV02;BV08,NOT_RUN
F13,Реестр в формате заказчика,AT049;AT050;AT051;AT052;AT129;AT147;AT148;AT175;AT176;AT181;AT182,BV04;BV06,NOT_RUN
F14,Предпочтения заказчика,AT053;AT054;AT055;AT056;AT157;AT167;AT168;AT173;AT174;AT175;AT176,BV04,NOT_RUN
F15,"Комплект, готовый к передаче",AT057;AT058;AT059;AT060;AT129;AT137;AT138;AT139;AT148;AT173;AT174;AT175;AT176,BV04,NOT_RUN
F16,Выборочная повторная печать и передача,AT061;AT062;AT063;AT064;AT139;AT140;AT175;AT176,BV04;BV07,NOT_RUN
F17,Предупреждение о возможном повторном оформлении,AT065;AT066;AT067;AT068;AT177;AT178,BV02,NOT_RUN
F18,Контроль символов и качества данных,AT069;AT070;AT071;AT072,BV01,NOT_RUN
F19,"Поиск, история и исправления",AT073;AT074;AT075;AT076;AT140;AT157;AT163;AT164;AT171;AT172;AT177;AT178;AT183;AT184,BV05;BV07,NOT_RUN
F20,Контроль исполнения и следующего действия,AT077;AT078;AT079;AT080;AT169;AT170;AT171;AT172;AT181;AT182,BV03;BV08,NOT_RUN
F21,Повторная заявка и актуализация состава,AT081;AT082;AT083;AT084;AT163;AT164;AT171;AT172,BV05,NOT_RUN
F22,Сроки и внутренние задачи повторного обращения,AT085;AT086;AT087;AT088;AT149;AT171;AT172,BV05,NOT_RUN
F23,Ограниченный кабинет работодателя,AT089;AT090;AT091;AT092;AT143;AT144;AT145;AT146;AT158;AT173;AT174,BV04,NOT_RUN
F24,Матрица обучения и внешние документы,AT093;AT094;AT095;AT096;AT144;AT153;AT155;AT171;AT172;AT173;AT174,BV04;BV05,NOT_RUN
F25,Дело обучения,AT097;AT098;AT099;AT100;AT147;AT152;AT155;AT169;AT170;AT183;AT184,BV03;BV07,NOT_RUN
F26,Досье центра,AT101;AT102;AT103;AT104;AT155;AT183;AT184,BV07,NOT_RUN
F27,Паспорт услуги и версии правил,AT105;AT106;AT107;AT108;AT136;AT152;AT153;AT156;AT161;AT162;AT179;AT180,BV02;BV07,NOT_RUN
F28,Проверка по QR и обращения по документу,AT109;AT110;AT111;AT112;AT146;AT177;AT178,BV04;BV07,NOT_RUN
F29,Стоимость и завершение расчётов,AT113;AT114;AT115;AT116;AT154;AT169;AT170;AT181;AT182,BV03;BV06,NOT_RUN
F30,"Подключение центра, приватность и выгрузка",AT117;AT118;AT119;AT120;AT141;AT142;AT143;AT145;AT146;AT147;AT148;AT155;AT160;AT179;AT180;AT183;AT184,BV07;BV08,NOT_RUN
F31,Измерение нагрузки и демонстрация,AT121;AT122;AT123;AT124;AT129;AT130;AT159;AT160;AT179;AT180;AT183;AT184,BV08,NOT_RUN
F32,Полная приёмка и сохранение основы,AT125;AT126;AT127;AT128;AT131;AT132;AT133;AT134;AT135;AT136;AT137;AT138;AT139;AT140;AT141;AT142;AT149;AT156;AT159;AT160;AT183;AT184,BV07;BV08,NOT_RUN
