externalPersonKey,eventKey,outcome,resultText,evidenceKey,confirmedBy,confirmedAt
DEMO-P001,PB-G2,PASSED,ДЕМО — положительный результат из синтетической ведомости,DEMO-RESULTS-G2,DEMO-RESPONSIBLE,2026-09-22T10:00:00Z
DEMO-P002,PB-G2,PASSED,ДЕМО — положительный результат из синтетической ведомости,DEMO-RESULTS-G2,DEMO-RESPONSIBLE,2026-09-22T10:00:00Z
DEMO-P003,PB-G2,PASSED,ДЕМО — положительный результат из синтетической ведомости,DEMO-RESULTS-G2,DEMO-RESPONSIBLE,2026-09-22T10:00:00Z
DEMO-P004,PB-G2,PASSED,ДЕМО — положительный результат из синтетической ведомости,DEMO-RESULTS-G2,DEMO-RESPONSIBLE,2026-09-22T10:00:00Z
DEMO-P005,PB-G2,PASSED,ДЕМО — положительный результат из синтетической ведомости,DEMO-RESULTS-G2,DEMO-RESPONSIBLE,2026-09-22T10:00:00Z
DEMO-P006,PB-G2,PASSED,ДЕМО — положительный результат из синтетической ведомости,DEMO-RESULTS-G2,DEMO-RESPONSIBLE,2026-09-22T10:00:00Z
DEMO-P007,PB-G2,PASSED,ДЕМО — положительный результат из синтетической ведомости,DEMO-RESULTS-G2,DEMO-RESPONSIBLE,2026-09-22T10:00:00Z
DEMO-P008,PB-G2,PASSED,ДЕМО — положительный результат из синтетической ведомости,DEMO-RESULTS-G2,DEMO-RESPONSIBLE,2026-09-22T10:00:00Z
DEMO-P009,PB-G2,PASSED,ДЕМО — положительный результат из синтетической ведомости,DEMO-RESULTS-G2,DEMO-RESPONSIBLE,2026-09-22T10:00:00Z
DEMO-P010,PB-G2,PASSED,ДЕМО — положительный результат из синтетической ведомости,DEMO-RESULTS-G2,DEMO-RESPONSIBLE,2026-09-22T10:00:00Z
DEMO-P011,PB-G2,PASSED,ДЕМО — положительный результат из синтетической ведомости,DEMO-RESULTS-G2,DEMO-RESPONSIBLE,2026-09-22T10:00:00Z
DEMO-P012,PB-G2,PASSED,ДЕМО — положительный результат из синтетической ведомости,DEMO-RESULTS-G2,DEMO-RESPONSIBLE,2026-09-22T10:00:00Z
DEMO-P013,PB-G2,PASSED,ДЕМО — положительный результат из синтетической ведомости,DEMO-RESULTS-G2,DEMO-RESPONSIBLE,2026-09-22T10:00:00Z
DEMO-P014,PB-G2,PASSED,ДЕМО — положительный результат из синтетической ведомости,DEMO-RESULTS-G2,DEMO-RESPONSIBLE,2026-09-22T10:00:00Z
DEMO-P015,PB-G2,PASSED,ДЕМО — положительный результат из синтетической ведомости,DEMO-RESULTS-G2,DEMO-RESPONSIBLE,2026-09-22T10:00:00Z
DEMO-P016,PB-G2,PASSED,ДЕМО — положительный результат из синтетической ведомости,DEMO-RESULTS-G2,DEMO-RESPONSIBLE,2026-09-22T10:00:00Z
DEMO-P017,PB-G2,PASSED,ДЕМО — положительный результат из синтетической ведомости,DEMO-RESULTS-G2,DEMO-RESPONSIBLE,2026-09-22T10:00:00Z
DEMO-P018,PB-G2,PASSED,ДЕМО — положительный результат из синтетической ведомости,DEMO-RESULTS-G2,DEMO-RESPONSIBLE,2026-09-22T10:00:00Z
DEMO-P019,PB-G2,PASSED,ДЕМО — положительный результат из синтетической ведомости,DEMO-RESULTS-G2,DEMO-RESPONSIBLE,2026-09-22T10:00:00Z
DEMO-P020,PB-G2,PASSED,ДЕМО — положительный результат из синтетической ведомости,DEMO-RESULTS-G2,DEMO-RESPONSIBLE,2026-09-22T10:00:00Z
DEMO-P021,PB-G2,PASSED,ДЕМО — положительный результат из синтетической ведомости,DEMO-RESULTS-G2,DEMO-RESPONSIBLE,2026-09-22T10:00:00Z
DEMO-P022,PB-G2,PASSED,ДЕМО — положительный результат из синтетической ведомости,DEMO-RESULTS-G2,DEMO-RESPONSIBLE,2026-09-22T10:00:00Z
DEMO-P023,PB-G2,PASSED,ДЕМО — положительный результат из синтетической ведомости,DEMO-RESULTS-G2,DEMO-RESPONSIBLE,2026-09-22T10:00:00Z
DEMO-P024,PB-G2,PASSED,ДЕМО — положительный результат из синтетической ведомости,DEMO-RESULTS-G2,DEMO-RESPONSIBLE,2026-09-22T10:00:00Z
